,Unnamed: 0,Model Type,seed,loss,Train or Test
0,0,RCPS,1535,6.6062994830042525,train
1,1,CJ-duringtraining,1535,6.31926848591282,train
2,2,CJ-posthoc,1535,6.312177605099858,train
3,3,RCPS,9999,6.433170364905175,train
4,4,CJ-duringtraining,9999,6.348898783699656,train
5,5,CJ-posthoc,9999,6.3386208697398105,train
6,6,RCPS,4652,6.4462757919046485,train
7,7,CJ-duringtraining,4652,6.303074704519683,train
8,8,CJ-posthoc,4652,6.333025439081522,train
9,9,RCPS,6806,6.437709646244236,train
10,10,CJ-duringtraining,6806,6.350445591376347,train
11,11,CJ-posthoc,6806,6.339280420391788,train
12,12,RCPS,7626,6.386616690904653,train
13,13,CJ-duringtraining,7626,6.354580735405947,train
14,14,CJ-posthoc,7626,6.3829609450200175,train
15,15,RCPS,2143,6.4502830141126655,train
16,16,CJ-duringtraining,2143,6.348638106253151,train
17,17,CJ-posthoc,2143,6.329456287694319,train
18,18,RCPS,3578,6.4356507708853945,train
19,19,CJ-duringtraining,3578,6.333927554508912,train
20,20,CJ-posthoc,3578,6.335091834543254,train
21,21,RCPS,1780,6.399154587105343,train
22,22,CJ-duringtraining,1780,6.378542492500277,train
23,23,CJ-posthoc,1780,6.3258746464325455,train
24,24,RCPS,6117,6.397722486335076,train
25,25,CJ-duringtraining,6117,6.344592276630901,train
26,26,CJ-posthoc,6117,6.354182916232707,train
27,27,RCPS,9295,6.391638139312966,train
28,28,CJ-duringtraining,9295,6.356816989179242,train
29,29,CJ-posthoc,9295,6.367747559489313,train
0,0,RCPS,1535,6.569248173279276,test
1,1,CJ-duringtraining,1535,6.508577253410896,test
2,2,CJ-posthoc,1535,6.4727023088217,test
3,3,RCPS,9999,6.500304952255754,test
4,4,CJ-duringtraining,9999,6.4859932951880435,test
5,5,CJ-posthoc,9999,6.463656558362665,test
6,6,RCPS,4652,6.495589159966358,test
7,7,CJ-duringtraining,4652,6.486132203624276,test
8,8,CJ-posthoc,4652,6.462803611980973,test
9,9,RCPS,6806,6.494426980547573,test
10,10,CJ-duringtraining,6806,6.487772398737564,test
11,11,CJ-posthoc,6806,6.47132041972903,test
12,12,RCPS,7626,6.478533859133892,test
13,13,CJ-duringtraining,7626,6.490293658410972,test
14,14,CJ-posthoc,7626,6.484439684752522,test
15,15,RCPS,2143,6.484806402091423,test
16,16,CJ-duringtraining,2143,6.483500587981213,test
17,17,CJ-posthoc,2143,6.460283514233215,test
18,18,RCPS,3578,6.504619183652638,test
19,19,CJ-duringtraining,3578,6.4946236472074865,test
20,20,CJ-posthoc,3578,6.4654840880172895,test
21,21,RCPS,1780,6.482030298501325,test
22,22,CJ-duringtraining,1780,6.4832441364817255,test
23,23,CJ-posthoc,1780,6.463057259416693,test
24,24,RCPS,6117,6.479169447224634,test
25,25,CJ-duringtraining,6117,6.486115583011367,test
26,26,CJ-posthoc,6117,6.464407774460293,test
27,27,RCPS,9295,6.480515238465368,test
28,28,CJ-duringtraining,9295,6.4817744568174325,test
29,29,CJ-posthoc,9295,6.4750315216628405,test
